longitude,latitude,depth,temperature,salinity
-3.6287,36.2992,349.1,13.2433,38.4929
-3.6287,36.2992,350.1,13.2429,38.493
-3.6287,36.2992,351.1,13.243,38.4931
-3.6287,36.2992,352.1,13.2432,38.4931
-3.6287,36.2992,353.1,13.2432,38.4931
-3.6287,36.2992,354.1,13.2435,38.4931
-3.6287,36.2992,355.1,13.2434,38.4933
-3.6287,36.2992,356.1,13.2435,38.4935
-3.6287,36.2992,357,13.2436,38.4936
-3.6287,36.2992,358,13.243,38.4937
-3.6287,36.2992,359,13.2427,38.4936
-3.6287,36.2992,360,13.2414,38.4945
-3.6287,36.2992,361,13.2416,38.495
-3.6287,36.2992,362,13.2418,38.4947
-3.6287,36.2992,363,13.2419,38.4959
-3.6287,36.2992,364,13.2422,38.4965
-3.6287,36.2992,365,13.2423,38.496
-3.6287,36.2992,366,13.2421,38.4972
-3.6287,36.2992,367,13.2411,38.4979
-3.6287,36.2992,367.9,13.2409,38.4978
-3.6287,36.2992,368.9,13.2414,38.4977
-3.6287,36.2992,369.9,13.2418,38.4982
-3.6287,36.2992,370.9,13.2423,38.4989
-3.6287,36.2992,371.9,13.2412,38.4989
-3.6287,36.2992,372.9,13.2403,38.4996
-3.6287,36.2992,373.9,13.2407,38.5
-3.6287,36.2992,374.9,13.2422,38.5001
-3.6287,36.2992,375.9,13.2436,38.5007
-3.6287,36.2992,376.9,13.2435,38.5011
-3.6287,36.2992,377.9,13.244,38.5015
-3.6287,36.2992,378.8,13.2434,38.5013
-3.6287,36.2992,379.8,13.243,38.5016
-3.6287,36.2992,380.8,13.2433,38.5021
-3.6287,36.2992,381.8,13.2451,38.503
-3.6287,36.2992,382.8,13.2442,38.5028
-3.6287,36.2992,383.8,13.2443,38.5033
-3.6287,36.2992,384.8,13.2447,38.5035
-3.6287,36.2992,385.8,13.2421,38.5031
-3.6287,36.2992,386.8,13.2425,38.5037
-3.6287,36.2992,387.8,13.242,38.5044
-3.6287,36.2992,388.8,13.2424,38.5043
-3.6287,36.2992,389.7,13.2425,38.5049
-3.6287,36.2992,390.7,13.2425,38.5051
-3.6287,36.2992,391.7,13.2416,38.5052
-3.6287,36.2992,392.7,13.2399,38.5054
-3.6287,36.2992,393.7,13.2395,38.506
-3.6287,36.2992,394.7,13.2394,38.5053
-3.6287,36.2992,395.7,13.2373,38.5054
-3.6287,36.2992,396.7,13.2364,38.5062
-3.6287,36.2992,397.7,13.2374,38.5056
-3.6287,36.2992,398.7,13.236,38.506
-3.6287,36.2992,399.7,13.2374,38.5057
-3.6287,36.2992,400.6,13.2356,38.5055
-3.6287,36.2992,401.6,13.2306,38.5056
-3.6287,36.2992,402.6,13.234,38.506
-3.6253,36.1942,5,21.6845,36.3676
-3.6253,36.1942,6,21.6826,36.3695
-3.6253,36.1942,6.9,21.68,36.3689
-3.6253,36.1942,7.9,21.6629,36.3656
-3.6253,36.1942,8.9,21.6711,36.3705
-3.6253,36.1942,9.9,21.6694,36.3685
-3.6253,36.1942,10.9,21.6398,36.3652
-3.6253,36.1942,11.9,21.6257,36.3728
-3.6253,36.1942,12.9,21.5649,36.3707
-3.6253,36.1942,13.9,21.6328,36.3694
-3.6253,36.1942,14.9,20.9317,36.3771
-3.6253,36.1942,15.9,20.8545,36.3855
-3.6253,36.1942,16.9,20.6786,36.3928
-3.6253,36.1942,17.9,20.6138,36.4026
-3.6253,36.1942,18.9,20.4781,36.3942
-3.6253,36.1942,19.9,20.179,36.3451
-3.6253,36.1942,20.8,20.1042,36.3633
-3.6253,36.1942,21.8,20.0326,36.3523
-3.6253,36.1942,22.8,19.9285,36.3521
-3.6253,36.1942,23.8,19.8058,36.342
-3.6253,36.1942,24.8,19.7328,36.3282
-3.6253,36.1942,25.8,19.7355,36.345
-3.6253,36.1942,26.8,19.5287,36.3272
-3.6253,36.1942,27.8,19.4548,36.3295
-3.6253,36.1942,28.8,19.445,36.341
-3.6253,36.1942,29.8,19.3193,36.349
